abaissees,
abandonne,
abasourdi,
abattable,
abattages,
abattoirs,
abbatiale,
abbatiaux,
abdiquees,
abdominal,
abducteur,
abduction,
aberrance,
aberrante,
aberrants,
abhorrees,
abjection,
ablations,
ablatives,
ablutions,
aboiement,
abolitifs,
abolition,
abolitive,
abominees,
abondance,
abondante,
abondants,
abordable,
abordages,
abouchees,
aboyeuses,
abrasives,
abreuvage,
abreuvees,
abscisses,
absconses,
absentees,
absidales,
absidiale,
absidiaux,
absorbees,
abstenues,
abstraire,
abstraite,
abstraits,
absurdite,
abyssales,
academies,
accablees,
accalmies,
accaparee,
accaparer,
accapares,
acceleree,
accelerer,
acceleres,
accentuee,
accentuer,
accentues,
acceptees,
accidente,
accidents,
acclamees,
acclimate,
accointee,
accointer,
accointes,
accolades,
accolages,
accommode,
accomplie,
accomplir,
accomplis,
accordage,
accordees,
accordeon,
accordeur,
accostage,
accostees,
accouchee,
accoucher,
accouches,
accoudees,
accoudoir,
accouplee,
accoupler,
accouples,
accourues,
accoutree,
accoutrer,
accoutres,
accredite,
accrochee,
accrocher,
accroches,
accroches,
accroitre,
accroupie,
accroupir,
accroupis,
accueilli,
acculture,
accumulee,
accumuler,
accumules,
accusatif,
acetifiee,
acetifier,
acetifies,
acetiques,
achalande,
acharnees,
acheminee,
acheminer,
achemines,
acheteurs,
acheteuse,
acidifiee,
acidifier,
acidifies,
acidulees,
acneiques,
acoquinee,
acoquiner,
acoquines,
acquereur,
acquittee,
acquitter,
acquittes,
acrobates,
acrobatie,
acronymes,
acropoles,
acrylique,
actionnee,
actionner,
actionnes,
activisme,
activiste,
activites,
actualise,
actualite,
actuariel,
adaptable,
adaptatif,
addiction,
additions,
additives,
adducteur,
adduction,
adequates,
adherence,
adherente,
adherents,
adhesions,
adhesives,
adipeuses,
adipiques,
adjacente,
adjacents,
adjectifs,
adjective,
adjoindre,
adjointes,
adjudants,
adjuvante,
adjuvants,
admiratif,
admission,
adoptable,
adoptante,
adoptants,
adoptions,
adoptives,
adorables,
adorateur,
adoration,
adressees,
adulateur,
adulation,
adulteres,
adverbial,
adversite,
aerateurs,
aerations,
aeriennes,
aerogares,
aeroports,
affabulee,
affabuler,
affabules,
affaiblie,
affaiblir,
affaiblis,
affaissee,
affaisser,
affaisses,
affectees,
affectifs,
affection,
affective,
affermies,
affichees,
affiliees,
affinages,
affinerie,
affineurs,
affineuse,
affinites,
affinoirs,
affirmees,
affleuree,
affleurer,
affleures,
affligees,
afflouees,
affluence,
affluente,
