abattu,
abbaye,
abetir,
abimee,
abimer,
abimes,
abject,
abolie,
abolir,
abolis,
abonne,
abords,
aboyer,
abrupt,
abruti,
absent,
absolu,
abusee,
abuser,
abuses,
abusif,
abysse,
acabit,
acacia,
acajou,
accent,
accord,
accroc,
acerbe,
achats,
acteur,
actifs,
action,
active,
actuel,
adages,
adapte,
adepte,
adieux,
adoree,
adorer,
adores,
adulee,
aduler,
adules,
adulte,
aerien,
affect,
agacee,
agacer,
agaces,
agenda,
agents,
agneau,
agonie,
agrafe,
agrafe,
agrume,
aguets,
aigles,
aiglon,
albums,
alcool,
alcove,
alerte,
alerte,
alinea,
allure,
amande,
ambigu,
amende,
amenee,
amener,
amenes,
amiral,
amours,
amusee,
amuser,
amuses,
ananas,
anches,
ancien,
ancree,
ancrer,
ancres,
ancres,
angine,
angles,
animal,
animee,
animer,
animes,
anneau,
annees,
annexe,
annuel,
anomal,
anomie,
anorak,
apache,
apercu,
aperos,
aplomb,
apnees,
apotre,
appels,
arbres,
arcade,
arceau,
ardent,
ardeur,
arenes,
argent,
argile,
arguee,
arguer,
argues,
arides,
arnica,
aromes,
assaut,
asthme,
astral,
astres,
astuce,
atonie,
atouts,
atroce,
aucune,
aucuns,
audace,
aumone,
aurore,
autels,
auteur,
autour,
autres,
autrui,
auvent,
avalee,
avaler,
avales,
avatar,
avenir,
avenue,
averee,
averer,
averes,
aviron,
avocat,
avoine,
avoirs,
avouee,
avouer,
avoues,
axiale,
axiome,
babine,
babord,
baclee,
bacler,
bacles,
badaud,
badges,
baffle,
bagage,
bagnes,
baguee,
baguer,
bagues,
baisee,
baiser,
baises,
baisse,
bajoue,
balade,
balais,
balcon,
balise,
balise,
balles,
ballet,
ballon,
bambin,
bambou,
banale,
banane,
bancal,
bannie,
bannir,
bannis,
banque,
barbes,
bareme,
barils,
barman,
barons,
barque,
barree,
barrer,
barres,
barres,
basket,
basque,
basses,
basset,
bassin,
bateau,
battes,
battre,
battue,
battus,
baumes,
bavard,
baveux,
bavure,
beaute,
beguin,
belges,
belier,
bercee,
bercer,
berces,
bernee,
berner,
bernes,
besace,
betail,
beurre,
beurre,
bieres,
bijoux,
bikini,
billes,
billet,
binome,
bisous,
bisque,
bistro,
blague,
blamee,
blamer,
blames,
blames,
blancs,
blasee,
blaser,
blases,
blason,
blette,
bleues,
bleuet,
blocus,
blonde,
blonds,
bobine,
bobine,
bocage,
bocaux,
bœufs,
boheme,
boiter,
boites,
bolide,
bombee,
bomber,
bombes,
bombes,
bonbon,
bondir,
bonnes,
bonnet,
bonsai,
bordel,
bordee,
border,
bordes,
borgne,
bornee,
borner,
bornes,
bornes,
bosses,
bossue,
bossus,
bottee,
botter,
bottes,
bottes,
bottin,
boubou,
boucan,
bouche,
bouche,
boucle,
boucle,
boudee,
bouder,
boudes,
boudin,
bouees,
bouffe,
bougee,
bouger,
bouges,
bougie,
bougon,
bougre,
boulee,
bouler,
boules,
boules,
boulet,
boulon,
boulot,
bourde,
bourgs,
bourru,
bourse,
bouses,
bouton,
bovine,
bovins,
boxers,
boxeur,
boyaux,
bravee,
braver,
braves,
braves,
brebis,
breche,
brelan,
breton,
breves,
brevet,
brimee,
brimer,
brimes,
brisee,
briser,
brises,
broche,
broche,
brodee,
broder,
brodes,
brosse,
brosse,
broyee,
broyer,
broyes,
bruine,
bruits,
brulee,
bruler,
brules,
brunes,
brunie,
brunir,
brunis,
brutal,
brutes,
bubons,
buccal,
buchee,
bucher,
buches,
buches,
budget,
buffet,
buffle,
bulbes,
bullee,
buller,
bulles,
bulles,
bulots,
bunker,
bureau,
burger,
burins,
bustes,
butins,
butoir,
buttee,
butter,
buttes,
buttes,
buveur,
cabane,
cabans,
cabine,
cablee,
cabler,
cables,
cables,
cabree,
cabrer,
cabres,
cacaos,
cachee,
cacher,
caches,
cachet,
cachou,
cactus,
caddie,
cadeau,
cadets,
cadran,
cadree,
cadrer,
cadres,
cadres,
cafard,
cagibi,
cahier,
caille,
calcul,
caline,
calins,
calmee,
calmer,
calmes,
calmes,
calque,
calque,
campee,
camper,
campes,
canard,
canari,
canaux,
cancan,
canine,
canins,
canoes,
canons,
canton,
canyon,
capots,
captee,
capter,
captes,
captif,
cardee,
carder,
cardes,
careme,
carnet,
carton,
casher,
casier,
casino,
cassee,
casser,
casses,
castes,
castor,
causee,
causer,
causes,
causes,
cavale,
caviar,
cavite,
cendre,
centre,
cercle,
cercle,
cerise,
cernee,
cerner,
cernes,
cernes,
certes,
cessee,
cesser,
cesses,
cesure,
chacun,
chahut,
chaine,
chaise,
chales,
chalet,
champs,
chance,
change,
chants,
chapka,
chapon,
charge,
charge,
charme,
charme,
charnu,
charte,
chasse,
chaste,
chaton,
chatte,
chaude,
chauds,
chauve,
chemin,
chenes,
chenet,
chenil,
cheque,
cherie,
cherir,
cheris,
cheval,
chevet,
cheveu,
chevre,
chiant,
chiens,
chimie,
chinee,
chiner,
chines,
chiots,
chipee,
chiper,
chipes,
chlore,
chœur,
choper,
chutee,
chuter,
chutes,
chutes,
ciblee,
cibler,
cibles,
cibles,
cidres,
cierge,
cigale,
cigare,
ciment,
cinema,
cintre,
cirage,
cireur,
cirque,
ciseau,
citron,
civile,
civils,
claire,
clairs,
claque,
cliche,
client,
climat,
cloche,
cloche,
clonee,
cloner,
clones,
clones,
cloque,
cloque,
clouee,
clouer,
cloues,
clowns,
cobaye,
cochee,
cocher,
coches,
cochon,
cocons,
cocues,
codage,
cœurs,
coffre,
cognee,
cogner,
cognes,
coings,
colere,
collee,
coller,
colles,
combat,
comble,
comble,
comite,
commun,
compas,
compte,
compte,
comtes,
concis,
confit,
connes,
connue,
connus,
contee,
conter,
contes,
contes,
convoi,
cookie,
copain,
copeau,
copine,
coquet,
coquin,
corail,
cordes,
