abaissee,
abaisser,
abaisses,
abandons,
abattage,
abattues,
abbesses,
abdiquee,
abdiquer,
abdiques,
abeilles,
abhorree,
abhorrer,
abhorres,
abjectes,
ablatifs,
ablation,
ablution,
abouties,
abrasifs,
abrasive,
abreuvee,
abreuver,
abreuves,
abricots,
abruptes,
abruties,
abscisse,
absences,
absentee,
absenter,
absentes,
absentes,
absolues,
absorbee,
absorber,
absorbes,
absoudre,
abstenir,
abstenue,
abstenus,
abstrait,
absurdes,
abusives,
abyssale,
academie,
accablee,
accabler,
accables,
accentue,
acceptee,
accepter,
acceptes,
accident,
acclamee,
acclamer,
acclames,
accordee,
accorder,
accordes,
accroche,
accroche,
accueils,
acetique,
acharnee,
acharner,
acharnes,
acheteur,
acidulee,
aciduler,
acidules,
acneique,
acolytes,
acomptes,
acquises,
acropole,
activite,
actuelle,
adaptees,
additifs,
addition,
adherent,
adhesion,
adhesive,
adipeuse,
adjacent,
adjectif,
adjointe,
adjoints,
admettre,
adoptees,
adoptifs,
adoption,
adoptive,
adorable,
adoucies,
adressee,
adresser,
adresses,
adresses,
adroites,
adultere,
adverbes,
aeration,
aerienne,
aerogare,
aeronefs,
aeroport,
aerosols,
affaibli,
affairee,
affairer,
affaires,
affaires,
affectee,
affecter,
affectes,
affectif,
affermie,
affermir,
affermis,
affichee,
afficher,
affiches,
affirmee,
affirmer,
affirmes,
affligee,
affliger,
affliges,
affluent,
affolees,
affretee,
affreter,
affretes,
affreuse,
affronts,
affublee,
affubler,
affubles,
agacante,
agacants,
agencees,
aggravee,
aggraver,
aggraves,
agonisee,
agoniser,
agonises,
agrafees,
agrandie,
agrandir,
agrandis,
agressee,
agresser,
agresses,
agressif,
agricole,
agrippee,
agripper,
agrippes,
aguichee,
aguicher,
aguiches,
aiguille,
aiguille,
aimantee,
aimanter,
aimantes,
airelles,
aisances,
ajournee,
ajourner,
ajournes,
ajoutees,
ajustees,
alanguie,
alanguir,
alanguis,
alarmees,
albatros,
alchimie,
alentour,
aliments,
allaitee,
allaiter,
allaites,
allechee,
allecher,
alleches,
alleguee,
alleguer,
allegues,
allemand,
allergie,
alliance,
allongee,
allonger,
allonges,
allouees,
allumage,
allusifs,
allusion,
allusive,
alourdie,
alourdir,
alourdis,
alpaguee,
alpaguer,
alpagues,
alphabet,
alternee,
alterner,
alternes,
altesses,
alveoles,
amadouee,
amadouer,
amadoues,
amaigrie,
amaigrir,
amaigris,
amandier,
amateurs,
ambiance,
ambiante,
ambiants,
ambigues,
ambition,
ambulant,
amenagee,
amenager,
amenages,
amiables,
amnesies,
amochees,
amorcage,
amorcees,
ampoules,
amputees,
amulette,
amusante,
amusants,
amygdale,
analogie,
analogue,
analysee,
analyser,
analyses,
analyses,
anatomie,
ancetres,
ancienne,
ancrages,
aneantie,
aneantir,
aneantis,
anecdote,
anemique,
anemones,
anglaise,
angoisse,
angoisse,
animales,
animiste,
annoncee,
annoncer,
annonces,
annonces,
annotees,
annuaire,
annuelle,
annuites,
annulees,
anoblies,
anodines,
anonymes,
anorexie,
anormale,
anormaux,
antalgie,
antennes,
antichoc,
antilope,
antipode,
antiques,
antivols,
anxietes,
anxieuse,
aoutiens,
apaisees,
apercues,
aperitif,
apeurees,
apitoyee,
apitoyer,
apitoyes,
aplanies,
apologie,
apparats,
appareil,
apparent,
appâtees,
appauvri,
appelees,
apportee,
apporter,
apportes,
apposees,
apprenti,
appretee,
appreter,
appretes,
approche,
approche,
aptitude,
aquarium,
aqueducs,
aqueuses,
arbitree,
arbitrer,
arbitres,
arbitres,
arborees,
archivee,
archiver,
archives,
archives,
arlequin,
armagnac,
armature,
arnaquee,
arnaquer,
arnaques,
arnaques,
arpentee,
arpenter,
arpentes,
arrangee,
arranger,
arranges,
arrieres,
arrimees,
arrivees,
arrondie,
arrondir,
arrondis,
artisans,
arythmie,
asexuees,
asexuels,
asociale,
asociaux,
aspartam,
aspergee,
asperger,
asperges,
asperges,
asphalte,
aspirine,
assainie,
assainir,
assainis,
assassin,
assechee,
assecher,
asseches,
assiegee,
assieger,
assieges,
assiette,
assignee,
assigner,
assignes,
assimile,
assistee,
assister,
assistes,
associee,
associer,
associes,
assoiffe,
assombri,
assommee,
assommer,
assommes,
assortie,
assortir,
assortis,
assoupie,
assoupir,
assoupis,
assouvie,
assouvir,
assouvis,
assumees,
assurees,
assureur,
asticots,
astiquee,
astiquer,
astiques,
atomique,
atomisee,
atomiser,
atomises,
attablee,
attabler,
attables,
attachee,
attacher,
attaches,
attaquee,
attaquer,
attaques,
attaques,
attardee,
attarder,
attardes,
atteinte,
atteints,
attendre,
attendri,
attendue,
attendus,
attentes,
atterrie,
atterrir,
atterris,
attestee,
attester,
attestes,
attirail,
attisees,
attitree,
attitrer,
attitres,
attitude,
attrapee,
attraper,
attrapes,
attribue,
attribut,
aubaines,
auberges,
audibles,
audience,
auditees,
auditeur,
auditifs,
audition,
auditive,
augmente,
aumonier,
aureolee,
aureoler,
aureoles,
autarcie,
autismes,
autistes,
autonome,
autorite,
autruche,
avancees,
avantage,
avarices,
avenante,
avenants,
aventure,
aversion,
averties,
aveuglee,
aveugler,
aveugles,
aveugles,
aviateur,
avicoles,
avortees,
babouche,
babouins,
bacterie,
bafouees,
bagarrer,
bagarres,
bagnards,
bagnoles,
baignade,
balafree,
balafrer,
balafres,
balafres,
balancee,
balancer,
balances,
balances,
balayeur,
baleines,
ballotin,
baluchon,
banlieue,
banquets,
banquier,
banquise,
baptemes,
baptisee,
baptiser,
baptises,
barbares,
barbarie,
barbecue,
barbelee,
barbeles,
barbiers,
barbotee,
barboter,
barbotes,
bariolee,
barioler,
barioles,
basculee,
basculer,
bascules,
basiques,
bassinee,
bassiner,
bassines,
bassines,
bataille,
bâtiment,
bâtonnet,
battante,
battants,
batterie,
batteurs,
batteuse,
baudrier,
bavarder,
bavardes,
bavettes,
baveuses,
bazardee,
bazarder,
bazardes,
beaucoup,
beaufort,
beignets,
belettes,
benefice,
benevole,
benignes,
benitier,
berceaux,
berceuse,
bestiale,
bestiaux,
bestiole,
betisier,
beurrage,
biaisees,
bienfait,
bienvenu,
bigoudis,
bilingue,
binaires,
biologie,
biomasse,
biscotte,
biscuits,
biseaute,
bisexuee,
bisexuel,
bisexues,
bistouri,
bivouacs,
bizarres,
bizutage,
blafarde,
blafards,
blaireau,
blanches,
blanchie,
blanchir,
blanchis,
blessant,
blessees,
blessure,
bleutees,
blindage,
blindees,
bloquees,
blousons,
bluffant,
bluffees,
bohemien,
boiserie,
boissons,
boiteuse,
boitiers,
bonbonne,
bonheurs,
bonhomie,
bonhomme,
bordeaux,
boreales,
bosquets,
bosselee,
bosseler,
bosseles,
bottines,
bouchers,
bouchons,
bouclees,
bouclier,
boudeurs,
boudeuse,
boudinee,
boudiner,
boudines,
boudoirs,
boueuses,
bouffant,
bouffies,
bougeoir,
bouilles,
bouillie,
bouillir,
bouillis,
bouillon,
boulange,
bouleaux,
boulgour,
bouliers,
boulimie,
bouloche,
bouloirs,
boulonne,
bouquets,
bouquins,
bourbier,
bourdons,
bourgeon,
bourrage,
bourreau,
bourrees,
bourrues,
boursier,
boussole,
boutades,
boutique,
bouturee,
bouturer,
boutures,
boutures,
bowlings,
bracelet,
braderie,
braisees,
branchee,
brancher,
branches,
branches,
branchie,
brandade,
branleur,
braquees,
brasiers,
brassard,
brasseur,
bretelle,
bretonne,
breuvage,
brevetee,
breveter,
brevetes,
bricolee,
bricoler,
bricoles,
bricoles,
brigands,
brillant,
bringues,
briquets,
brocante,
brochure,
brocolis,
broderie,
brodeurs,
brodeuse,
broncher,
bronches,
bronzage,
brossage,
brouette,
brouille,
brouille,
brulante,
brulants,
brumeuse,
brunâtre,
brushing,
brusquee,
brusquer,
brusques,
brutales,
bucheron,
buchette,
budgetee,
budgeter,
budgetes,
buissons,
bulgares,
bulletin,
bustiers,
butinage,
butinees,
buvettes,
cabanons,
cabarets,
câblages,
câbleurs,
cabossee,
cabosser,
cabosses,
cabotins,
cachette,
cadavres,
cadencee,
cadencer,
cadences,
cadences,
cadrages,
cadreurs,
cagnotte,
cagoulee,
cagoules,
caillots,
cailloux,
calamars,
calanque,
calcinee,
calciner,
calcines,
calculee,
calculer,
calcules,
calibree,
calibrer,
calibres,
câlinees,
calisson,
calmante,
calmants,
calomnie,
calories,
calvaire,
calvitie,
camarade,
cameleon,
camelias,
campagne,
campings,
canadien,
canaille,
canardee,
canarder,
canardes,
candidat,
candides,
canetons,
canettes,
caniches,
canicule,
caniveau,
cannabis,
cannelle,
cannette,
canotier,
cantines,
canulars,
capables,
capacite,
capitaux,
caprices,
capsulee,
capsuler,
capsules,
capsules,
capteurs,
captivee,
captiver,
captives,
