abandon,
abattre,
abattue,
abattus,
abbayes,
abbesse,
abdomen,
abeille,
abjecte,
abjects,
abjuree,
abjurer,
abjures,
abonder,
abordee,
aborder,
abordes,
aboutie,
aboutir,
aboutis,
abricot,
abrupte,
abrupts,
abrutie,
abrutir,
abrutis,
absente,
absents,
absidal,
absolue,
absolus,
absurde,
abusifs,
abusive,
acacias,
acceder,
accents,
accords,
accrocs,
acculee,
acculer,
accules,
accusee,
accuser,
accuses,
achetee,
acheter,
achetes,
achevee,
achever,
acheves,
acolyte,
acompte,
actions,
activee,
activer,
actives,
actives,
actrice,
actuels,
adaptee,
adapter,
adaptes,
adherer,
adjugee,
adjuger,
adjuges,
admises,
adoptee,
adopter,
adoptes,
adoptif,
adoubee,
adouber,
adoubes,
adoucie,
adoucir,
adoucis,
adresse,
adresse,
adroite,
adroits,
adultes,
advenir,
advenue,
advenus,
adverbe,
adverse,
aerosol,
affadie,
affadir,
affadis,
affalee,
affaler,
affales,
affamee,
affamer,
affames,
affecte,
affects,
affiche,
affiche,
affinee,
affiner,
affines,
affolee,
affoler,
affoles,
affreux,
affront,
agacees,
agencee,
agencer,
agences,
agendas,
agneaux,
agrafee,
agrafer,
agrafes,
agrafes,
agrumes,
aiglons,
aigreur,
aimants,
ajoutee,
ajouter,
ajoutes,
alarmee,
alarmer,
alarmes,
alarmes,
alcools,
alertee,
alerter,
alertes,
alertes,
allumee,
allumer,
allumes,
altesse,
alveole,
amandes,
ambiant,
ambigue,
ambigus,
amerrie,
amerrir,
amerris,
amiable,
amiante,
amincie,
amincir,
amincis,
amiraux,
amities,
amnesie,
amochee,
amocher,
amoches,
amollir,
amorcee,
amorcer,
amorces,
amorces,
amorphe,
amortie,
amortir,
amortis,
amphore,
ampleur,
ampoule,
amputee,
amputer,
amputes,
amusant,
amusees,
analyse,
analyse,
ancetre,
anchois,
anciens,
ancrage,
anemiee,
anemier,
anemies,
anemies,
anemone,
ânesses,
angevin,
angines,
angiome,
anglais,
animaux,
animees,
anneaux,
annexee,
annexer,
annexes,
annexes,
annonce,
annonce,
annuels,
annulee,
annuler,
annules,
anomale,
anomaux,
anoraks,
anormal,
anthrax,
antigel,
antijeu,
antique,
antivol,
anxiete,
anxieux,
aoutien,
apercue,
apercus,
apeuree,
apeurer,
apeures,
aplanie,
aplanir,
aplanis,
apparue,
apparus,
appeaux,
apposee,
apposer,
apposes,
appuyee,
appuyer,
appuyes,
aqueduc,
aqueuse,
aquilin,
arabica,
arbitre,
arbitre,
arboree,
arborer,
arbores,
arbuste,
arcades,
archers,
archets,
ardente,
ardents,
ardeurs,
ardoise,
aristos,
armoire,
armures,
arnaque,
arnaque,
arnicas,
arobase,
aromate,
arretee,
arreter,
arretes,
arretes,
arriere,
arriere,
arrimee,
arrimer,
arrimes,
arrivee,
arriver,
arrives,
arrondi,
arsenal,
arsenic,
arteres,
article,
artisan,
artiste,
asepsie,
asexuee,
asexues,
asocial,
aspects,
asperge,
asperge,
aspiree,
aspirer,
aspires,
assagie,
assagir,
assagis,
assidue,
assidus,
assumee,
assumer,
assumes,
assuree,
assurer,
assures,
atelier,
athlete,
attaque,
attaque,
attelee,
atteler,
atteles,
attente,
attisee,
attiser,
attises,
auberge,
auteurs,
autisme,
autiste,
autobus,
autocar,
automne,
avertie,
avertir,
avertis,
aveugle,
aveugle,
avortee,
avorter,
avortes,
axiomes,
azimuts,
bâbords,
babouin,
badauds,
badiner,
bafouee,
bafouer,
bafoues,
bagarre,
bagarre,
bagnard,
bagnole,
baignee,
baigner,
baignes,
baillee,
bailler,
bailles,
baisers,
baladee,
balader,
balades,
balades,
balayee,
balayer,
balayes,
balcons,
baleine,
balisee,
baliser,
balises,
balises,
ballade,
ballons,
bambins,
bambous,
banales,
bananes,
bancale,
bandana,
bandeau,
banquee,
banquer,
banques,
banques,
banquet,
baobabs,
bapteme,
baptise,
baptise,
baraque,
baraque,
baratin,
barbare,
barbier,
barbues,
barmans,
basilic,
basique,
bavoirs,
bazooka,
beautes,
becasse,
becoter,
beignet,
berceau,
bergere,
bergers,
berline,
bermuda,
besaces,
bestial,
bestiau,
betises,
beurree,
beurrer,
beurres,
beurres,
biaiser,
bifidus,
bigames,
bigamie,
bigleux,
bigoudi,
binocle,
binomes,
biopsie,
bipedes,
bipedie,
biscuit,
bistrot,
bivouac,
bizarre,
bizutee,
bizuter,
bizutes,
blafard,
blaguer,
blagues,
blairee,
blairer,
blaires,
blanche,
blanchi,
blessee,
blesser,
blesses,
bleutee,
bleuter,
bleutes,
blondes,
bloquee,
bloquer,
bloques,
bobinee,
bobiner,
bobines,
bobines,
boisson,
bonbons,
bonheur,
bonnets,
bordels,
bordure,
boreale,
bottine,
bottins,
bouchee,
boucher,
bouches,
bouches,
bouchon,
boudine,
boudins,
boudoir,
bouffee,
bouffer,
bouffes,
bouffon,
bougies,
bougres,
bouille,
bouleau,
boulets,
boulier,
bouquin,
bourdes,
bourdon,
bourges,
bourree,
bourrer,
bourres,
bourrin,
bourrue,
bourrus,
bourses,
bouseux,
boutade,
boutons,
bowling,
boyards,
braisee,
braiser,
braises,
braises,
branche,
branche,
branlee,
branler,
branles,
braquee,
braquer,
braques,
brassee,
brasser,
brasses,
breches,
bretons,
brevets,
brevete,
briefee,
briefer,
briefes,
brigade,
brigand,
briller,
bringue,
brioche,
brioche,
briquee,
briquer,
briques,
briques,
brochee,
brocher,
broches,
broches,
brochet,
brocoli,
bronche,
bronzee,
bronzer,
bronzes,
brossee,
brosser,
brosses,
brosses,
brousse,
bruiner,
bruines,
brumeux,
brunchs,
brutale,
brutaux,
budgets,
buffets,
buffles,
burinee,
buriner,
burines,
buteurs,
butinee,
